exposure,outcome,n_iv,n_correct,pct_correct,n_exp,n_out
KOGES_LDL,BBJ_Glaucoma,43,43,100.0,72298,177351
KOGES_TC,BBJ_Glaucoma,44,44,100.0,72298,177351
KOGES_TG,BBJ_Glaucoma,39,39,100.0,72298,177351
KOGES_LIP,BBJ_Glaucoma,9,9,100.0,72298,177351
KOGES_LDL,TPMI_365,51,51,100.0,72298,318597
KOGES_TC,TPMI_365,53,53,100.0,72298,318597
KOGES_TG,TPMI_365,43,43,100.0,72298,318597
KOGES_LIP,TPMI_365,8,8,100.0,72298,318597
TPMI_LDL,BBJ_Glaucoma,57,57,100.0,165202,177351
TPMI_TC,BBJ_Glaucoma,74,74,100.0,161535,177351
TPMI_HDL,BBJ_Glaucoma,65,65,100.0,142676,177351
